Time,Payload,Payload_Occurrences
15:53:17.841,22 59 20 20 AA AA AA AA,35
15:53:17.872,10 10 0C 0E 02 05 10 28,11
15:53:17.878,21 28 A0 46 4C 55 58 46,34
15:53:17.889,22 4D 20 20 AA AA AA AA,35
15:53:17.920,10 10 0C 0E 03 05 14 51,11
15:53:17.924,21 25 1C 48 48 20 5A 57,36
15:53:17.930,22 45 49 20 AA AA AA AA,35
15:53:17.963,10 10 0C 0E 04 05 10 54,11
15:53:17.972,21 24 54 46 53 4B 20 39,36
15:53:17.979,22 33 2E 30 AA AA AA AA,36
15:53:18.006,10 10 0C 0E 05 05 10 55,11
15:53:18.018,21 23 D2 39 20 31 20 37,36
15:53:18.024,22 58 46 4D AA AA AA AA,35
15:53:18.060,10 10 0C 0E 06 05 D2 20,5
15:53:18.072,21 22 CE 44 6C 66 20 4B,35
15:53:18.077,22 75 6C 74 AA AA AA AA,53
15:53:18.105,10 10 0C 0E 07 05 D4 51,5
15:53:18.118,21 23 46 4E 44 52 20 39,33
15:53:18.124,22 30 2C 33 AA AA AA AA,32
15:53:18.154,10 10 0C 0E 08 05 D3 58,6
15:53:18.158,21 28 78 52 41 44 49 4F,36
15:53:18.163,22 20 48 48 AA AA AA AA,35
15:53:18.192,10 10 0C 0E 09 05 D7 5B,6
15:53:18.200,21 26 52 4B 4C 41 53 53,36
15:53:18.207,22 49 4B 20 AA AA AA AA,35
15:53:18.241,10 10 0C 0E 0A 05 D3 82,6
15:53:18.253,21 22 38 00 00 00 00 00,7
15:53:18.259,22 00 00 00 AA AA AA AA,60
15:53:18.293,10 10 0C 0E 0B 05 D3 83,6
15:53:18.308,21 26 C0 4E 44 52 20 4B,17
15:53:18.328,22 75 6C 74 AA AA AA AA,53
15:53:18.356,10 10 0C 0E 0C 05 D3 84,6
15:53:18.363,21 24 0E 00 00 00 00 00,14
15:53:18.373,22 00 00 00 AA AA AA AA,60
15:53:18.404,10 10 0C 0E 0D 05 D3 88,10
15:53:18.421,21 27 4C 00 00 00 00 00,25
15:53:18.428,22 00 00 00 AA AA AA AA,60
15:53:18.456,10 10 0C 0E 0E 05 D3 E1,12
15:53:18.461,21 22 F6 4E 44 52 20 31,34
15:53:18.473,22 20 53 48 AA AA AA AA,34
15:53:26.359,10 44 09 00 00 05 4A 61,5
15:53:26.382,21 73 6F 6E 20 44 65 72,5
15:53:26.398,22 75 6C 6F 20 2F 20 54,5
15:53:26.403,23 61 6B 65 20 59 6F 75,5
15:53:26.418,24 20 44 61 6E 63 69 6E,5
15:53:26.430,25 67 20 20 20 20 20 20,5
15:53:26.444,26 20 20 20 20 20 20 20,18
15:53:26.482,27 20 20 20 20 20 20 20,26
15:53:26.492,28 20 20 20 20 20 20 20,26
15:53:26.503,29 20 20 20 20 20 20 AA,34
15:53:38.155,10 10 0C 0E 01 05 1B 16,12
15:53:38.163,21 25 EE 45 4E 45 52 47,37
15:53:38.170,22 59 20 20 AA AA AA AA,35
15:53:38.201,10 10 0C 0E 02 05 10 28,11
15:53:38.218,21 28 A0 46 4C 55 58 46,34
15:53:38.231,22 4D 20 20 AA AA AA AA,35
15:53:38.259,10 10 0C 0E 03 05 14 51,11
15:53:38.282,21 25 1C 48 48 20 5A 57,36
15:53:38.288,22 45 49 20 AA AA AA AA,35
15:53:38.332,10 10 0C 0E 04 05 10 54,11
15:53:38.354,21 24 54 46 53 4B 20 39,36
15:53:38.361,22 33 2E 30 AA AA AA AA,36
15:53:38.400,10 10 0C 0E 05 05 10 55,11
15:53:38.418,21 23 D2 39 20 31 20 37,36
15:53:38.426,22 58 46 4D AA AA AA AA,35
15:53:38.462,10 10 0C 0E 06 05 10 56,7
15:53:38.473,21 25 80 54 49 44 45 39,30
15:53:38.483,22 36 2E 30 AA AA AA AA,31
15:53:38.525,10 10 0C 0E 07 05 D2 20,6
15:53:38.540,21 22 CE 44 6C 66 20 4B,35
15:53:38.557,22 75 6C 74 AA AA AA AA,53
15:53:38.586,10 10 0C 0E 08 05 D3 58,6
15:53:38.599,21 28 78 52 41 44 49 4F,36
15:53:38.624,22 20 48 48 AA AA AA AA,35
15:53:38.657,10 10 0C 0E 09 05 D7 5B,6
15:53:38.661,21 26 52 4B 4C 41 53 53,36
15:53:38.667,22 49 4B 20 AA AA AA AA,35
15:53:38.704,10 10 0C 0E 0A 05 D3 82,6
15:53:38.719,21 22 38 00 00 00 00 00,7
15:53:38.723,22 00 00 00 AA AA AA AA,60
15:53:38.751,10 10 0C 0E 0B 05 D3 83,6
15:53:38.761,21 26 C0 4E 44 52 20 4B,17
15:53:38.773,22 75 6C 74 AA AA AA AA,53
15:53:38.803,10 10 0C 0E 0C 05 D3 84,6
15:53:38.821,21 24 0E 00 00 00 00 00,14
15:53:38.827,22 00 00 00 AA AA AA AA,60
15:53:38.853,10 10 0C 0E 0D 05 D3 88,10
15:53:38.859,21 27 4C 00 00 00 00 00,25
15:53:38.867,22 00 00 00 AA AA AA AA,60
15:53:38.899,10 10 0C 0E 0E 05 D3 E1,12
15:53:38.915,21 22 F6 4E 44 52 20 31,34
15:53:38.922,22 20 53 48 AA AA AA AA,34
15:54:39.150,10 10 0C 0D 01 05 1B 16,11
15:54:39.160,21 25 EE 45 4E 45 52 47,37
15:54:39.173,22 59 20 20 AA AA AA AA,35
15:54:39.187,10 44 09 00 00 05 4A 61,5
15:54:39.198,21 73 6F 6E 20 44 65 72,5
15:54:39.220,22 75 6C 6F 20 2F 20 54,5
15:54:39.229,23 61 6B 65 20 59 6F 75,5
15:54:39.237,24 20 44 61 6E 63 69 6E,5
15:54:39.241,25 67 20 20 20 20 20 20,5
15:54:39.250,26 20 20 20 20 20 20 20,18
15:54:39.260,27 20 20 20 20 20 20 20,26
15:54:39.288,28 20 20 20 20 20 20 20,26
15:54:39.295,29 20 20 20 20 20 20 AA,34
15:54:39.309,10 10 0C 0D 02 05 10 28,11
15:54:39.329,21 28 A0 46 4C 55 58 46,34
15:54:39.337,22 4D 20 20 AA AA AA AA,35
15:54:39.369,10 10 0C 0D 03 05 14 51,11
15:54:39.379,21 25 1C 48 48 20 5A 57,36
