ID (hex),DLC,Data (hex),ASCII,Adjusted_Time
208,8,00 00 00 00 00 00 00 00,........,15:52:02.717
108,1,1,.,15:52:02.717
50E,2,0A 00,..,15:52:02.718
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.719
541,8,C6 6A 00 3E DD 54 00 00,.j.>.T..,15:52:02.720
239,8,10 02 ED 70 0C C4 20 32,...p.. 2,15:52:02.721
541,8,C7 6A 00 3D B9 54 00 00,.j.=.T..,15:52:02.723
238,8,07 00 00 C0 00 00 00 00,........,15:52:02.726
21A,2,00 00,..,15:52:02.726
108,1,1,.,15:52:02.727
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.729
214,7,00 00 7F 7F 41 14 FF,..A..,15:52:02.730
304,7,4B 8B 01 00 FF 82 04,K......,15:52:02.731
404,1,1,.,15:52:02.732
541,8,88 6A 00 3A D1 54 00 00,.j.:.T..,15:52:02.733
223,2,55 AA,U.,15:52:02.736
50A,4,00 01 00 00,....,15:52:02.736
108,1,1,.,15:52:02.737
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.739
20F,8,FF 01 04 00 00 3E 23 76,.....>#v,15:52:02.742
541,8,39 00 00 00 08 00 00 00,9.......,15:52:02.743
290,8,01 B8 FF 54 3B 1C 00 00,...T,15:52:02.744
228,8,00 00 00 00 00 00 00 00,........,15:52:02.747
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.749
108,1,1,.,15:52:02.749
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:02.750
509,4,00 00 00 00,....,15:52:02.751
541,8,7A 1C 00 3E 05 00 00 00,z..>....,15:52:02.753
292,8,40 21 00 00 00 00 A0 1B,@!......,15:52:02.754
20D,2,50 03,P.,15:52:02.755
203,8,50 21 00 93 00 01 57 FF,P!....W.,15:52:02.756
213,4,02 01 90 00,....,15:52:02.757
234,2,00 00,..,15:52:02.757
23E,5,70 00 80 80 00,p....,15:52:02.758
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.759
240,8,62 64 00 00 00 00 00 00,bd......,15:52:02.760
403,1,0B,.,15:52:02.761
408,1,4,.,15:52:02.761
108,1,1,.,15:52:02.762
40B,1,0,.,15:52:02.762
541,8,AB EA FF 00 00 00 00 00,........,15:52:02.763
308,8,00 A7 2D 13 1C 32 00 20,..-..2. ,15:52:02.765
218,8,00 00 C0 00 B2 4A 33 00,.....J3.,15:52:02.766
108,1,1,.,15:52:02.766
22A,8,10 02 ED 70 0D 3D 20 32,...p.= 2,15:52:02.767
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.769
541,8,0C 00 06 00 00 00 00 00,........,15:52:02.773
230,8,01 00 00 00 00 00 00 00,........,15:52:02.776
108,1,1,.,15:52:02.777
20A,6,50 20 00 00 80 00,P ....,15:52:02.778
23A,8,10 02 ED 70 0C E8 20 32,...p.. 2,15:52:02.779
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.780
40A,1,0,.,15:52:02.780
50A,4,00 01 00 00,....,15:52:02.781
50B,2,0A 00,..,15:52:02.781
541,8,0D 3B 01 00 00 00 00 00,.,15:52:02.783
248,8,10 00 00 06 00 FF FF 00,........,15:52:02.785
108,1,1,.,15:52:02.786
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.789
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:02.790
509,4,00 00 00 00,....,15:52:02.791
541,8,3E 9C A2 09 00 00 00 00,>.......,15:52:02.793
290,8,00 04 A0 00 6A 90 00 00,....j...,15:52:02.794
108,1,1,.,15:52:02.796
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.799
22E,8,01 50 FF FF 00 00 00 00,.P......,15:52:02.800
541,8,A0 2A 00 02 00 00 00 00,.*......,15:52:02.803
11B,5,00 40 F4 00 50,.@..P,15:52:02.805
23E,5,70 00 80 80 00,p....,15:52:02.806
20E,4,00 02 07 02,....,15:52:02.808
108,1,1,.,15:52:02.809
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.810
407,1,0,.,15:52:02.810
411,8,00 00 10 00 00 00 00 00,........,15:52:02.811
209,6,50 20 00 00 80 00,P ....,15:52:02.812
219,2,00 00,..,15:52:02.813
229,8,10 02 ED 70 0C 6C 20 32,...p.l 2,15:52:02.814
409,1,0,.,15:52:02.814
50E,2,0A 00,..,15:52:02.815
541,8,91 26 00 01 00 00 00 00,.&......,15:52:02.816
410,1,70,p,15:52:02.816
208,8,00 00 00 00 00 00 00 00,........,15:52:02.817
50A,4,00 01 00 00,....,15:52:02.818
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.819
108,1,1,.,15:52:02.819
239,8,10 02 ED 70 0C C4 20 32,...p.. 2,15:52:02.822
541,8,72 2A 09 3C 89 0D 00 00,r*.<....,15:52:02.823
238,8,07 00 00 C0 00 00 00 00,........,15:52:02.825
21A,2,00 00,..,15:52:02.826
108,1,1,.,15:52:02.827
258,2,00 00,..,15:52:02.827
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.829
214,7,00 00 7F 7F 41 14 FF,..A..,15:52:02.830
304,7,4B 8B 01 00 FF 82 04,K......,15:52:02.831
404,1,1,.,15:52:02.832
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:02.833
509,4,00 00 00 00,....,15:52:02.833
541,8,A3 2A 0D 3C 99 0C 00 00,.*.<....,15:52:02.834
223,2,55 AA,U.,15:52:02.836
240,8,62 64 00 00 00 00 00 00,bd......,15:52:02.837
319,4,02 00 00 08,....,15:52:02.837
108,1,1,.,15:52:02.838
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.839
20F,8,FF 01 04 00 00 3E 33 86,.....>3.,15:52:02.842
541,8,84 AA 87 3E BD D4 A5 02,...>....,15:52:02.843
290,8,01 B8 EF 54 3B FE FF 00,...T,15:52:02.844
356,8,13 01 00 00 00 00 00 00,........,15:52:02.845
228,8,00 00 00 00 00 00 00 00,........,15:52:02.847
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.849
108,1,1,.,15:52:02.849
541,8,B5 EA 00 3F E1 54 00 00,...?.T..,15:52:02.853
292,8,40 21 00 00 00 00 B0 D6,@!......,15:52:02.854
408,1,4,.,15:52:02.855
20D,2,50 03,P.,15:52:02.855
203,8,50 21 00 93 00 01 57 FF,P!....W.,15:52:02.856
108,1,1,.,15:52:02.857
213,4,02 01 90 00,....,15:52:02.858
234,2,00 00,..,15:52:02.858
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.859
23E,5,70 00 80 80 00,p....,15:52:02.860
403,1,1,.,15:52:02.860
40B,1,0A,.,15:52:02.861
50A,4,00 01 00 00,....,15:52:02.861
541,8,C6 6A 00 3E DD 54 00 00,.j.>.T..,15:52:02.863
218,8,00 00 C0 00 B2 4A 33 00,.....J3.,15:52:02.865
108,1,1,.,15:52:02.866
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.869
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:02.870
509,4,00 00 00 00,....,15:52:02.871
541,8,C7 6A 00 3D B9 54 00 00,.j.=.T..,15:52:02.873
230,8,02 00 00 00 00 00 00 00,........,15:52:02.876
20A,6,50 20 00 00 80 00,P ....,15:52:02.877
40A,1,0,.,15:52:02.878
108,1,1,.,15:52:02.878
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.879
50B,2,0A 00,..,15:52:02.880
541,8,98 6A 00 3A D5 54 00 00,.j.:.T..,15:52:02.883
248,8,10 00 00 06 00 FF FF 00,........,15:52:02.885
108,1,1,.,15:52:02.886
22A,8,10 02 ED 70 0D 3D 20 32,...p.= 2,15:52:02.887
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.889
541,8,39 00 00 00 08 00 00 00,9.......,15:52:02.893
290,8,00 04 A0 00 6A 90 00 00,....j...,15:52:02.894
108,1,1,.,15:52:02.896
23A,8,10 02 ED 70 0C E8 20 32,...p.. 2,15:52:02.897
50A,4,00 01 00 00,....,15:52:02.898
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.899
541,8,7A 1C 00 3E 05 00 00 00,z..>....,15:52:02.903
23E,5,70 00 80 80 00,p....,15:52:02.906
11B,5,00 40 04 00 60,.@..`,15:52:02.907
20E,4,00 02 07 02,....,15:52:02.908
108,1,1,.,15:52:02.909
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.910
407,1,0,.,15:52:02.910
411,8,00 00 10 00 00 00 00 00,........,15:52:02.911
209,6,50 20 00 00 80 00,P ....,15:52:02.912
219,2,00 00,..,15:52:02.913
229,8,10 02 ED 70 0C 6D 20 32,...p.m 2,15:52:02.914
409,1,0,.,15:52:02.914
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:02.915
240,8,62 64 00 00 00 00 00 00,bd......,15:52:02.916
410,1,80,.,15:52:02.917
208,8,00 00 00 00 00 00 00 00,........,15:52:02.918
108,1,1,.,15:52:02.918
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.919
509,4,00 00 00 00,....,15:52:02.920
50E,2,0A 00,..,15:52:02.920
51E,8,00 00 00 00 07 01 00 01,........,15:52:02.921
239,8,10 02 ED 70 0C C4 20 32,...p.. 2,15:52:02.922
541,8,BB EA FF 00 00 00 00 00,........,15:52:02.923
238,8,07 00 00 C0 00 00 00 00,........,15:52:02.925
21A,2,00 00,..,15:52:02.926
108,1,1,.,15:52:02.927
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.929
214,7,00 00 7F 7F 41 14 FF,..A..,15:52:02.930
304,7,4B 8B 01 00 FF 82 04,K......,15:52:02.931
404,1,0B,.,15:52:02.932
541,8,0D 3B 01 00 00 00 00 00,.,15:52:02.933
223,2,55 AA,U.,15:52:02.936
50A,4,00 01 00 00,....,15:52:02.936
108,1,1,.,15:52:02.938
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.939
20F,8,FF 01 04 00 00 3E 43 96,.....>C.,15:52:02.942
541,8,2E 9C A2 09 00 00 00 00,........,15:52:02.943
290,8,01 B8 EF 54 3B 07 00 00,...T,15:52:02.944
228,8,00 00 00 00 00 00 00 00,........,15:52:02.947
108,1,1,.,15:52:02.948
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.949
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:02.950
509,4,00 00 00 00,....,15:52:02.951
541,8,B0 2A 00 02 00 00 00 00,.*......,15:52:02.953
292,8,40 21 00 00 00 00 C0 8F,@!......,15:52:02.954
3000000000,8,01 04 00 00 00 00 A0 91,........,15:52:02.955
20D,2,50 03,P.,15:52:02.956
203,8,50 21 00 93 00 01 57 FF,P!....W.,15:52:02.957
213,4,02 01 90 00,....,15:52:02.957
234,2,00 00,..,15:52:02.958
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.959
23E,5,70 00 80 80 00,p....,15:52:02.960
303,6,FF 3F 1F 1F 0F FF,.?....,15:52:02.960
403,1,1,.,15:52:02.961
408,1,4,.,15:52:02.961
40B,1,0,.,15:52:02.962
108,1,1,.,15:52:02.962
523,8,00 00 00 00 1A 04 00 22,".......""",15:52:02.963
541,8,91 26 00 01 00 00 00 00,.&......,15:52:02.964
218,8,00 00 C0 00 B2 4A 33 00,.....J3.,15:52:02.966
108,1,1,.,15:52:02.966
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.969
541,8,72 AA 09 3C 85 0D 00 00,r..<....,15:52:02.973
230,8,00 00 00 00 00 00 00 00,........,15:52:02.976
108,1,1,.,15:52:02.977
20A,6,50 20 00 00 80 00,P ....,15:52:02.978
30A,2,00 00,..,15:52:02.978
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.979
40A,1,0,.,15:52:02.980
50A,4,00 01 00 00,....,15:52:02.980
50B,2,0A 00,..,15:52:02.981
51A,8,00 00 00 00 12 02 00 0E,........,15:52:02.982
541,8,A3 6A 0C 3D 99 0C 00 00,.j.=....,15:52:02.983
248,8,10 00 00 06 00 FF FF 00,........,15:52:02.985
108,1,1,.,15:52:02.986
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.989
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:02.990
509,4,00 00 00 00,....,15:52:02.991
541,8,94 AA 87 3F C5 F4 A5 02,...?....,15:52:02.993
290,8,00 04 A0 00 6A 90 00 00,....j...,15:52:02.994
240,8,62 64 00 00 00 00 00 00,bd......,15:52:02.996
108,1,1,.,15:52:02.997
21E,8,00 00 00 00 00 00 00 00,........,15:52:02.999
22E,8,01 50 FF FF 00 00 00 00,.P......,15:52:03.000
541,8,C5 2A 01 3F E1 54 00 00,.*.?.T..,15:52:03.003
23E,5,70 00 80 80 00,p....,15:52:03.006
22A,8,10 02 ED 70 0D 3D 20 32,...p.= 2,15:52:03.007
3AA,8,C7 81 72 2A 6E 00 00 00,..r*n...,15:52:03.008
11B,5,00 40 14 00 70,.@..p,15:52:03.008
108,1,1,.,15:52:03.009
20E,4,00 02 07 02,....,15:52:03.010
21E,8,00 00 00 00 00 00 00 00,........,15:52:03.011
407,1,0,.,15:52:03.011
209,6,50 20 00 00 80 00,P ....,15:52:03.012
219,2,00 00,..,15:52:03.012
229,8,10 02 ED 70 0C 6C 20 32,...p.l 2,15:52:03.013
409,1,0,.,15:52:03.014
411,8,00 00 10 00 00 00 00 00,........,15:52:03.015
50E,2,0A 00,..,15:52:03.015
541,8,C6 6A 00 3E DD 54 00 00,.j.>.T..,15:52:03.016
23A,8,10 02 ED 70 0C E8 20 32,...p.. 2,15:52:03.017
410,1,90,.,15:52:03.018
208,8,00 00 00 00 00 00 00 00,........,15:52:03.019
108,1,1,.,15:52:03.019
21E,8,00 00 00 00 00 00 00 00,........,15:52:03.020
50A,4,00 01 00 00,....,15:52:03.021
239,8,10 02 ED 70 0C C4 20 32,...p.. 2,15:52:03.022
541,8,C7 6A 00 3D B9 54 00 00,.j.=.T..,15:52:03.023
238,8,07 00 00 C0 00 00 00 00,........,15:52:03.026
21A,2,00 00,..,15:52:03.027
108,1,1,.,15:52:03.027
21E,8,00 00 00 00 00 00 00 00,........,15:52:03.029
214,7,00 00 7F 7F 41 14 FF,..A..,15:52:03.030
304,7,4B 8B 01 00 FF 82 04,K......,15:52:03.031
404,1,1,.,15:52:03.032
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:03.033
509,4,00 00 00 00,....,15:52:03.033
541,8,98 6A 00 3B D1 54 00 00,.j.,15:52:03.034
223,2,55 AA,U.,15:52:03.036
108,1,1,.,15:52:03.037
21E,8,00 00 00 00 00 00 00 00,........,15:52:03.039
20F,8,FF 01 04 00 00 3E 53 A6,.....>S.,15:52:03.042
541,8,39 00 00 00 08 00 00 00,9.......,15:52:03.043
290,8,01 B8 1F 55 3B 0E 00 00,...U,15:52:03.044
228,8,00 00 00 00 00 00 00 00,........,15:52:03.046
108,1,1,.,15:52:03.047
21E,8,00 00 00 00 00 00 00 00,........,15:52:03.049
541,8,7A 1C 00 40 05 00 00 00,z..@....,15:52:03.053
292,8,40 21 00 00 00 00 D0 42,@!.....B,15:52:03.054
20D,2,50 03,P.,15:52:03.056
203,8,50 21 00 93 00 01 57 FF,P!....W.,15:52:03.057
213,4,02 01 90 00,....,15:52:03.057
234,2,00 00,..,15:52:03.058
23E,5,70 00 80 80 00,p....,15:52:03.058
21E,8,00 00 00 00 00 00 00 00,........,15:52:03.059
403,1,1,.,15:52:03.060
408,1,4,.,15:52:03.060
108,1,1,.,15:52:03.061
40B,1,0,.,15:52:03.061
50A,4,00 01 00 00,....,15:52:03.062
541,8,BB EA FF 00 00 00 00 00,........,15:52:03.063
218,8,00 00 C0 00 B2 4A 33 00,.....J3.,15:52:03.065
108,1,1,.,15:52:03.066
21E,8,00 00 00 00 00 00 00 00,........,15:52:03.069
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:03.070
509,4,00 00 00 00,....,15:52:03.071
541,8,0C 00 06 00 00 00 00 00,........,15:52:03.073
240,8,62 64 00 00 00 00 00 00,bd......,15:52:03.076
20A,6,50 20 00 00 80 00,P ....,15:52:03.077
108,1,1,.,15:52:03.077
230,8,01 00 00 00 00 00 00 00,........,15:52:03.078
21E,8,00 00 00 00 00 00 00 00,........,15:52:03.079
40A,1,0A,.,15:52:03.080
50B,2,0A 00,..,15:52:03.080
541,8,0D 3B 01 00 00 00 00 00,.,15:52:03.083
248,8,10 00 00 06 00 FF FF 00,........,15:52:03.085
108,1,1,.,15:52:03.087
21E,8,00 00 00 00 00 00 00 00,........,15:52:03.089
541,8,3E 9C A3 09 00 00 00 00,>.......,15:52:03.093
290,8,00 04 A0 00 6A 90 00 00,....j...,15:52:03.094
108,1,1,.,15:52:03.096
50A,4,00 01 00 00,....,15:52:03.097
21E,8,00 00 00 00 00 00 00 00,........,15:52:03.099
541,8,B0 2A 00 02 00 00 00 00,.*......,15:52:03.103
23E,5,70 00 80 80 00,p....,15:52:03.106
11B,5,00 40 24 00 80,.@$..,15:52:03.107
108,1,1,.,15:52:03.108
20E,4,00 02 07 02,....,15:52:03.109
21E,8,00 00 00 00 00 00 00 00,........,15:52:03.110
407,1,0,.,15:52:03.110
411,8,00 00 10 00 00 00 00 00,........,15:52:03.111
209,6,50 20 00 00 80 00,P ....,15:52:03.112
219,2,00 00,..,15:52:03.112
229,8,10 02 ED 70 0C 6D 20 32,...p.m 2,15:52:03.113
309,2,00 00,..,15:52:03.114
409,1,0,.,15:52:03.114
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:03.115
509,4,00 00 00 00,....,15:52:03.116
410,1,A0,.,15:52:03.117
208,8,00 00 00 00 00 00 00 00,........,15:52:03.118
108,1,1,.,15:52:03.118
21E,8,00 00 00 00 00 00 00 00,........,15:52:03.119
50E,2,0A 00,..,15:52:03.119
519,8,00 00 00 00 12 02 00 0E,........,15:52:03.120
541,8,91 26 00 01 00 00 00 00,.&......,15:52:03.121
239,8,10 02 ED 70 0C C4 20 32,...p.. 2,15:52:03.122
541,8,82 EA 08 3C 85 0D 00 00,...<....,15:52:03.123
238,8,07 00 00 C0 00 00 00 00,........,15:52:03.125
21A,2,00 00,..,15:52:03.126
22A,8,10 02 ED 70 0D 3D 20 32,...p.= 2,15:52:03.127
108,1,1,.,15:52:03.128
21E,8,00 00 00 00 00 00 00 00,........,15:52:03.129
