ID (hex),DLC,Data (hex),ASCII,Adjusted_Time
239,8,20 02 ED 70 09 15 20 30, ..p.. 0,15:52:42.535
108,1,1,.,15:52:42.537
21A,2,00 00,..,15:52:42.539
223,2,55 55,UU,15:52:42.540
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.541
512,8,0A 86 02 13 A5 E3 CA 14,........,15:52:42.542
513,8,0A 86 02 13 A5 E3 CA 14,........,15:52:42.543
20F,8,FF 01 04 00 00 3E 03 56,.....>.V,15:52:42.544
290,8,01 B8 FF 54 3B 07 00 00,...T,15:52:42.545
541,8,2E 9C A3 09 00 00 00 00,........,15:52:42.546
108,1,1,.,15:52:42.547
228,8,00 00 00 00 00 00 00 00,........,15:52:42.548
214,7,00 00 7F 7F 41 14 FF,..A..,15:52:42.549
304,7,4B 8B 01 00 FF 82 04,K......,15:52:42.550
404,1,1,.,15:52:42.550
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.551
50A,4,00 01 00 00,....,15:52:42.552
292,8,40 21 00 00 00 00 80 9C,@!......,15:52:42.554
541,8,A0 2A 00 02 00 00 00 00,.*......,15:52:42.555
408,1,4,.,15:52:42.557
108,1,1,.,15:52:42.558
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.561
541,8,91 26 00 01 00 00 00 00,.&......,15:52:42.564
509,4,00 00 00 00,....,15:52:42.565
108,1,1,.,15:52:42.567
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:42.568
218,8,00 00 C0 00 B2 4A 33 00,.....J3.,15:52:42.569
203,8,50 22 00 93 00 01 57 FF,"P""....W.",15:52:42.570
213,4,02 01 90 00,....,15:52:42.571
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.572
234,2,00 00,..,15:52:42.573
23E,5,70 00 80 80 00,p....,15:52:42.573
403,1,1,.,15:52:42.574
541,8,72 2A 09 3C 85 0D 00 00,r*.<....,15:52:42.575
230,8,00 00 00 00 00 00 00 00,........,15:52:42.577
108,1,1,.,15:52:42.578
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.581
541,8,A3 6A 0C 3C 99 0C 00 00,.j.<....,15:52:42.584
108,1,1,.,15:52:42.585
248,8,10 00 01 06 00 FF FF 00,........,15:52:42.587
20D,2,50 03,P.,15:52:42.588
40B,1,0,.,15:52:42.589
20A,6,50 20 05 00 89 00,P ....,15:52:42.590
40A,1,0,.,15:52:42.590
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.591
50A,4,00 01 00 00,....,15:52:42.592
50B,2,0A 00,..,15:52:42.592
541,8,94 AA 87 3F BD F4 A5 02,...?....,15:52:42.594
290,8,00 04 A0 00 6A 90 00 00,....j...,15:52:42.595
108,1,1,.,15:52:42.596
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.601
541,8,B5 EA 00 3F E1 54 00 00,...?.T..,15:52:42.604
509,4,00 00 00 00,....,15:52:42.605
108,1,1,.,15:52:42.605
11B,5,00 40 D4 00 30,.@..0,15:52:42.608
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:42.609
411,8,00 00 10 00 00 00 00 00,........,15:52:42.610
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.611
22E,8,01 50 FF FF 00 00 00 00,.P......,15:52:42.612
240,8,62 64 00 00 00 00 00 00,bd......,15:52:42.613
541,8,C6 6A 00 3E D5 54 00 00,.j.>.T..,15:52:42.614
22A,8,20 02 ED 70 09 7E 20 30, ..p.~ 0,15:52:42.620
23E,5,70 00 80 80 00,p....,15:52:42.620
20E,4,00 02 07 02,....,15:52:42.621
108,1,1,.,15:52:42.622
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.623
407,1,0,.,15:52:42.623
410,1,50,P,15:52:42.623
208,8,00 00 00 00 00 00 00 00,........,15:52:42.624
209,6,50 20 05 00 89 00,P ....,15:52:42.625
108,1,1,.,15:52:42.626
219,2,00 00,..,15:52:42.626
229,8,20 02 ED 70 09 1D 20 30, ..p.. 0,15:52:42.627
238,8,07 00 00 C0 00 00 00 00,........,15:52:42.628
409,1,0,.,15:52:42.629
50E,2,0A 00,..,15:52:42.629
23A,8,20 02 ED 70 09 48 20 30, ..p.H 0,15:52:42.630
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.631
50A,4,00 01 00 00,....,15:52:42.632
541,8,C7 6A 00 3D B9 54 00 00,.j.=.T..,15:52:42.633
541,8,88 6A 00 3A D1 54 00 00,.j.:.T..,15:52:42.634
239,8,20 02 ED 70 09 82 20 30, ..p.. 0,15:52:42.635
108,1,1,.,15:52:42.635
21A,2,00 00,..,15:52:42.639
223,2,55 55,UU,15:52:42.640
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.641
20F,8,FF 01 04 00 00 3E 13 66,.....>.f,15:52:42.643
541,8,39 00 00 00 08 00 00 00,9.......,15:52:42.644
290,8,01 B8 EF 54 3B FE FF 00,...T,15:52:42.645
108,1,1,.,15:52:42.646
509,4,00 00 00 00,....,15:52:42.646
228,8,00 00 00 00 00 00 00 00,........,15:52:42.648
214,7,00 00 7F 7F 41 14 FF,..A..,15:52:42.649
304,7,4B 8B 01 00 FF 82 04,K......,15:52:42.650
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.651
404,1,1,.,15:52:42.651
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:42.652
292,8,40 21 00 00 00 00 90 51,@!.....Q,15:52:42.654
541,8,7A 1C 00 40 05 00 00 00,z..@....,15:52:42.655
408,1,4,.,15:52:42.656
108,1,1,.,15:52:42.657
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.661
541,8,BB EA FF 00 00 00 00 00,........,15:52:42.664
108,1,1,.,15:52:42.667
218,8,00 00 C0 00 B2 4A 33 00,.....J3.,15:52:42.668
50A,4,00 01 00 00,....,15:52:42.669
203,8,50 22 00 93 00 01 57 FF,"P""....W.",15:52:42.670
213,4,02 01 90 00,....,15:52:42.671
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.672
234,2,00 00,..,15:52:42.673
23E,5,70 00 80 80 00,p....,15:52:42.673
403,1,1,.,15:52:42.674
541,8,0C 00 06 00 00 00 00 00,........,15:52:42.675
230,8,01 00 00 00 00 00 00 00,........,15:52:42.677
108,1,1,.,15:52:42.678
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.681
541,8,0D 3B 01 00 00 00 00 00,.,15:52:42.684
509,4,00 00 00 00,....,15:52:42.685
108,1,1,.,15:52:42.685
248,8,10 00 01 06 00 FF FF 00,........,15:52:42.686
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:42.688
20D,2,50 03,P.,15:52:42.689
20A,6,50 20 05 00 89 00,P ....,15:52:42.690
240,8,62 64 00 00 00 00 00 00,bd......,15:52:42.690
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.691
40A,1,0,.,15:52:42.692
40B,1,0,.,15:52:42.692
50B,2,0A 00,..,15:52:42.693
541,8,2E 9C A1 09 00 00 00 00,........,15:52:42.694
290,8,00 04 A0 00 6A 90 00 00,....j...,15:52:42.695
108,1,1,.,15:52:42.696
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.701
541,8,A0 2A 00 02 00 00 00 00,.*......,15:52:42.704
11B,5,00 40 E4 00 40,.@..@,15:52:42.706
108,1,1,.,15:52:42.709
50A,4,00 01 00 00,....,15:52:42.710
411,8,00 00 10 00 00 00 00 00,........,15:52:42.711
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.712
541,8,91 26 00 01 00 00 00 00,.&......,15:52:42.714
108,1,1,.,15:52:42.715
410,1,60,`,15:52:42.716
208,8,00 00 00 00 00 00 00 00,........,15:52:42.717
23E,5,70 00 80 80 00,p....,15:52:42.720
20E,4,00 02 07 02,....,15:52:42.721
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.722
407,1,5,.,15:52:42.722
541,8,72 2A 09 3C 89 0D 00 00,r*.<....,15:52:42.724
209,6,50 20 05 00 89 00,P ....,15:52:42.725
108,1,1,.,15:52:42.725
219,2,00 00,..,15:52:42.726
229,8,20 02 ED 70 09 84 20 30, ..p.. 0,15:52:42.727
238,8,07 00 00 C0 00 00 00 00,........,15:52:42.728
409,1,0,.,15:52:42.728
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:42.729
509,4,00 00 00 00,....,15:52:42.730
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.731
50E,2,0A 00,..,15:52:42.731
541,8,B3 6A 0D 3C 99 0C 00 00,.j.<....,15:52:42.734
239,8,20 02 ED 70 09 F3 20 30, ..p.. 0,15:52:42.735
108,1,1,.,15:52:42.735
21A,2,00 00,..,15:52:42.739
22A,8,20 02 ED 70 0A 02 20 30, ..p.. 0,15:52:42.740
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.741
223,2,55 55,UU,15:52:42.742
20F,8,FF 01 04 00 00 3E 23 76,.....>#v,15:52:42.743
541,8,94 AA 87 3F C5 34 A6 02,...?.4..,15:52:42.744
290,8,01 B8 EF 54 3B 04 00 00,...T,15:52:42.745
108,1,1,.,15:52:42.745
228,8,00 00 00 00 00 00 00 00,........,15:52:42.748
214,7,00 00 7F 7F 41 14 FF,..A..,15:52:42.749
304,7,4B 8B 01 00 FF 82 04,K......,15:52:42.750
23A,8,20 02 ED 70 09 CB 20 30, ..p.. 0,15:52:42.751
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.752
404,1,1,.,15:52:42.752
50A,4,00 01 00 00,....,15:52:42.753
541,8,C5 2A 01 3F DD 54 00 00,.*.?.T..,15:52:42.754
292,8,40 21 00 00 00 00 A0 1B,@!......,15:52:42.755
408,1,4,.,15:52:42.757
108,1,1,.,15:52:42.758
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.761
541,8,C6 6A 00 3E DD 54 00 00,.j.>.T..,15:52:42.764
509,4,00 00 00 00,....,15:52:42.765
108,1,1,.,15:52:42.765
308,8,00 A7 2D 13 1C 32 00 20,..-..2. ,15:52:42.766
218,8,00 00 C0 00 B2 4A 33 00,.....J3.,15:52:42.767
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:42.768
203,8,50 22 00 93 00 01 57 FF,"P""....W.",15:52:42.771
213,4,02 01 90 00,....,15:52:42.771
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.772
234,2,00 00,..,15:52:42.773
23E,5,70 00 80 80 00,p....,15:52:42.774
240,8,62 64 00 00 00 00 00 00,bd......,15:52:42.774
403,1,0B,.,15:52:42.775
541,8,B7 6A 00 3D B9 54 00 00,.j.=.T..,15:52:42.776
230,8,02 00 00 00 00 00 00 00,........,15:52:42.777
108,1,1,.,15:52:42.778
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.781
541,8,88 6A 00 3B D1 54 00 00,.j.,15:52:42.784
108,1,1,.,15:52:42.785
248,8,10 00 00 06 00 FF FF 00,........,15:52:42.787
20D,2,50 03,P.,15:52:42.788
40B,1,0,.,15:52:42.789
20A,6,50 20 05 00 89 00,P ....,15:52:42.790
40A,1,0,.,15:52:42.790
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.791
50A,4,00 01 00 00,....,15:52:42.792
50B,2,0A 00,..,15:52:42.792
541,8,39 00 00 00 08 00 00 00,9.......,15:52:42.794
290,8,00 04 A0 00 6A 90 00 00,....j...,15:52:42.795
108,1,1,.,15:52:42.796
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.801
541,8,7A 1C 00 40 05 00 00 00,z..@....,15:52:42.804
509,4,00 00 00 00,....,15:52:42.805
11B,5,00 40 F4 00 50,.@..P,15:52:42.806
108,1,1,.,15:52:42.808
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:42.809
411,8,00 00 10 00 00 00 00 00,........,15:52:42.810
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.811
22E,8,01 50 FF FF 00 00 00 00,.P......,15:52:42.812
541,8,BB EA FF 00 00 00 00 00,........,15:52:42.814
108,1,1,.,15:52:42.817
410,1,70,p,15:52:42.817
208,8,00 00 00 00 00 00 00 00,........,15:52:42.818
23E,5,70 00 80 80 00,p....,15:52:42.820
20E,4,00 02 07 02,....,15:52:42.821
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.822
407,1,0,.,15:52:42.822
541,8,0C 00 06 00 00 00 00 00,........,15:52:42.824
209,6,50 20 05 00 89 00,P ....,15:52:42.825
108,1,1,.,15:52:42.825
219,2,00 00,..,15:52:42.826
229,8,20 02 ED 70 09 EE 20 30, ..p.. 0,15:52:42.827
238,8,07 00 00 C0 00 00 00 00,........,15:52:42.828
409,1,0,.,15:52:42.828
50E,2,0A 00,..,15:52:42.829
50A,4,00 01 00 00,....,15:52:42.830
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.831
541,8,0D 3B 01 00 00 00 00 00,.,15:52:42.834
239,8,20 02 ED 70 0A 61 20 30, ..p.a 0,15:52:42.835
108,1,1,.,15:52:42.836
319,4,02 00 00 08,....,15:52:42.836
21A,2,00 00,..,15:52:42.839
223,2,55 55,UU,15:52:42.840
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.841
20F,8,FF 01 04 00 00 3E 33 86,.....>3.,15:52:42.843
541,8,2E 9C A1 09 00 00 00 00,........,15:52:42.844
290,8,01 B8 EF 54 3B 09 00 00,...T,15:52:42.845
356,8,11 00 00 00 00 00 00 00,........,15:52:42.846
108,1,1,.,15:52:42.847
509,4,00 00 00 00,....,15:52:42.847
228,8,00 00 00 00 00 00 00 00,........,15:52:42.848
214,7,00 00 7F 7F 41 14 FF,..A..,15:52:42.849
304,7,4B 8B 01 00 FF 82 04,K......,15:52:42.850
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.851
240,8,62 64 00 00 00 00 00 00,bd......,15:52:42.852
404,1,1,.,15:52:42.852
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:42.853
292,8,40 21 00 00 00 00 B0 D6,@!......,15:52:42.854
541,8,B0 2A 00 02 00 00 00 00,.*......,15:52:42.855
408,1,4,.,15:52:42.857
108,1,1,.,15:52:42.858
22A,8,20 02 ED 70 0A 87 20 30, ..p.. 0,15:52:42.860
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.861
541,8,91 26 00 01 00 00 00 00,.&......,15:52:42.864
108,1,1,.,15:52:42.865
218,8,00 00 C0 00 B2 4A 33 00,.....J3.,15:52:42.866
23A,8,20 02 ED 70 0A 54 20 30, ..p.T 0,15:52:42.870
203,8,50 22 00 93 00 01 57 FF,"P""....W.",15:52:42.871
213,4,02 01 90 00,....,15:52:42.871
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.872
234,2,00 00,..,15:52:42.873
23E,5,70 00 80 80 00,p....,15:52:42.874
403,1,1,.,15:52:42.874
50A,4,00 01 00 00,....,15:52:42.875
541,8,82 EA 07 3C 85 0D 00 00,...<....,15:52:42.876
230,8,00 00 00 00 00 00 00 00,........,15:52:42.877
108,1,1,.,15:52:42.878
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.881
541,8,A3 AA 0C 3C 99 0C 00 00,...<....,15:52:42.884
509,4,00 00 00 00,....,15:52:42.885
108,1,1,.,15:52:42.885
248,8,10 00 00 06 00 FF FF 00,........,15:52:42.886
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:42.888
20D,2,50 03,P.,15:52:42.889
20A,6,50 20 05 00 89 00,P ....,15:52:42.890
40A,1,0,.,15:52:42.890
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.891
40B,1,0A,.,15:52:42.892
50B,2,0A 00,..,15:52:42.892
258,2,00 00,..,15:52:42.893
541,8,94 AA 87 3F BD F4 A5 02,...?....,15:52:42.894
290,8,00 04 A0 00 6A 90 00 00,....j...,15:52:42.895
108,1,1,.,15:52:42.896
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.901
541,8,C5 AA 00 3F E1 54 00 00,...?.T..,15:52:42.904
108,1,1,.,15:52:42.907
11B,5,00 40 04 00 60,.@..`,15:52:42.908
50A,4,00 01 00 00,....,15:52:42.909
411,8,00 00 10 00 00 00 00 00,........,15:52:42.910
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.911
541,8,C6 6A 00 3E DD 54 00 00,.j.>.T..,15:52:42.914
108,1,1,.,15:52:42.915
410,1,80,.,15:52:42.916
208,8,00 00 00 00 00 00 00 00,........,15:52:42.917
23E,5,70 00 80 80 00,p....,15:52:42.920
20E,4,00 02 07 02,....,15:52:42.921
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.922
407,1,0,.,15:52:42.922
51E,8,00 00 00 00 07 01 00 01,........,15:52:42.923
541,8,C7 6A 00 3D BD 54 00 00,.j.=.T..,15:52:42.924
108,1,1,.,15:52:42.925
209,6,50 20 05 00 89 00,P ....,15:52:42.926
219,2,00 00,..,15:52:42.926
229,8,20 02 ED 70 0A 59 20 30, ..p.Y 0,15:52:42.927
238,8,07 00 00 C0 00 00 00 00,........,15:52:42.928
409,1,0,.,15:52:42.928
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:42.929
509,4,00 00 00 00,....,15:52:42.930
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.931
240,8,62 64 00 00 00 00 00 00,bd......,15:52:42.932
50E,2,0A 00,..,15:52:42.933
541,8,98 6A 00 3B D1 54 00 00,.j.,15:52:42.934
239,8,20 02 ED 70 0A D1 20 30, ..p.. 0,15:52:42.935
108,1,1,.,15:52:42.936
21A,2,00 00,..,15:52:42.939
223,2,55 55,UU,15:52:42.940
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.941
20F,8,FF 01 04 00 00 3E 43 96,.....>C.,15:52:42.943
541,8,39 00 00 00 08 00 00 00,9.......,15:52:42.944
290,8,01 B8 1F 55 3B 0C 00 00,...U,15:52:42.945
108,1,1,.,15:52:42.947
228,8,00 00 00 00 00 00 00 00,........,15:52:42.948
214,7,00 00 7F 7F 41 14 FF,..A..,15:52:42.949
304,7,4B 8A 01 00 FF 82 04,K......,15:52:42.949
404,1,0B,.,15:52:42.950
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.951
50A,4,00 01 00 00,....,15:52:42.952
292,8,40 21 00 00 00 00 C0 8F,@!......,15:52:42.954
3000000000,8,01 04 00 00 00 00 A0 91,........,15:52:42.955
541,8,7A 1C 00 40 05 00 00 00,z..@....,15:52:42.956
408,1,4,.,15:52:42.957
108,1,1,.,15:52:42.957
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.961
541,8,BB EA FF 00 00 00 00 00,........,15:52:42.964
509,4,00 00 00 00,....,15:52:42.965
108,1,1,.,15:52:42.965
218,8,00 00 C0 00 B2 4A 33 00,.....J3.,15:52:42.966
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:42.969
203,8,50 22 00 93 00 01 57 FF,"P""....W.",15:52:42.971
213,4,02 01 90 00,....,15:52:42.971
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.972
234,2,00 00,..,15:52:42.973
23E,5,70 00 80 80 00,p....,15:52:42.974
303,6,FF 3F 1F 1F 0F FF,.?....,15:52:42.974
403,1,1,.,15:52:42.975
523,8,00 00 00 00 1A 04 00 22,".......""",15:52:42.976
541,8,0C 00 06 00 00 00 00 00,........,15:52:42.977
108,1,1,.,15:52:42.977
230,8,01 00 00 00 00 00 00 00,........,15:52:42.978
22A,8,20 02 ED 70 0B 11 20 30, ..p.. 0,15:52:42.980
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.981
541,8,0D 3B 01 00 00 00 00 00,.,15:52:42.984
108,1,1,.,15:52:42.985
248,8,10 00 00 06 00 FF FF 00,........,15:52:42.987
20D,2,50 03,P.,15:52:42.988
40B,1,0,.,15:52:42.989
20A,6,50 20 05 00 89 00,P ....,15:52:42.990
23A,8,20 02 ED 70 0A D9 20 30, ..p.. 0,15:52:42.991
21E,8,00 00 00 00 00 00 00 00,........,15:52:42.992
30A,2,00 00,..,15:52:42.992
40A,1,0,.,15:52:42.993
50A,4,00 01 00 00,....,15:52:42.993
290,8,00 04 A0 00 6A 90 00 00,....j...,15:52:42.994
50B,2,0A 00,..,15:52:42.995
51A,8,00 00 00 00 12 02 00 0E,........,15:52:42.996
108,1,1,.,15:52:42.996
541,8,2E 9C A4 09 00 00 00 00,........,15:52:42.997
21E,8,00 00 00 00 00 00 00 00,........,15:52:43.001
541,8,A0 2A 00 02 00 00 00 00,.*......,15:52:43.004
509,4,00 00 00 00,....,15:52:43.005
108,1,1,.,15:52:43.005
11B,5,00 40 14 00 70,.@..p,15:52:43.008
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:43.009
3AA,8,C7 81 72 2A 6E 00 00 00,..r*n...,15:52:43.010
240,8,62 64 00 00 00 00 00 00,bd......,15:52:43.011
21E,8,00 00 00 00 00 00 00 00,........,15:52:43.012
22E,8,01 50 FF FF 00 00 00 00,.P......,15:52:43.013
411,8,00 00 10 00 00 00 00 00,........,15:52:43.014
541,8,91 26 00 01 00 00 00 00,.&......,15:52:43.015
108,1,1,.,15:52:43.015
410,1,90,.,15:52:43.016
208,8,00 00 00 00 00 00 00 00,........,15:52:43.017
23E,5,70 00 80 80 00,p....,15:52:43.020
20E,4,00 02 07 02,....,15:52:43.021
21E,8,00 00 00 00 00 00 00 00,........,15:52:43.022
407,1,0,.,15:52:43.022
541,8,82 EA 08 3C 89 0D 00 00,...<....,15:52:43.024
209,6,50 20 05 00 89 00,P ....,15:52:43.025
108,1,1,.,15:52:43.025
219,2,00 00,..,15:52:43.026
229,8,20 02 ED 70 0A C4 20 30, ..p.. 0,15:52:43.027
238,8,07 00 00 C0 00 00 00 00,........,15:52:43.028
409,1,0,.,15:52:43.028
50E,2,0A 00,..,15:52:43.029
50A,4,00 01 00 00,....,15:52:43.030
21E,8,00 00 00 00 00 00 00 00,........,15:52:43.031
541,8,A3 2A 0D 3D 99 0C 00 00,.*.=....,15:52:43.034
239,8,20 02 ED 70 0B 40 20 30, ..p.@ 0,15:52:43.035
108,1,1,.,15:52:43.037
21A,2,00 00,..,15:52:43.039
223,2,55 55,UU,15:52:43.040
21E,8,00 00 00 00 00 00 00 00,........,15:52:43.041
20F,8,FF 01 04 00 00 3E 53 A6,.....>S.,15:52:43.043
541,8,A4 6A 87 3F C5 F4 A5 02,.j.?....,15:52:43.044
290,8,01 B8 FF 54 3B 0C 00 00,...T,15:52:43.045
509,4,00 00 00 00,....,15:52:43.046
108,1,1,.,15:52:43.047
228,8,00 00 00 00 00 00 00 00,........,15:52:43.048
214,7,00 00 7F 7F 41 14 FF,..A..,15:52:43.049
304,7,4B 8B 01 00 FF 82 04,K......,15:52:43.050
21E,8,00 00 00 00 00 00 00 00,........,15:52:43.051
404,1,1,.,15:52:43.052
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:43.052
292,8,40 21 00 00 00 00 D0 42,@!.....B,15:52:43.054
541,8,C5 EA 00 3F E1 54 00 00,...?.T..,15:52:43.055
408,1,4,.,15:52:43.057
108,1,1,.,15:52:43.058
21E,8,00 00 00 00 00 00 00 00,........,15:52:43.061
541,8,C6 6A 00 3E DD 54 00 00,.j.>.T..,15:52:43.064
108,1,1,.,15:52:43.065
218,8,00 00 C0 00 B2 4A 33 00,.....J3.,15:52:43.066
50A,4,00 01 00 00,....,15:52:43.069
203,8,50 22 00 93 00 01 57 FF,"P""....W.",15:52:43.071
213,4,02 01 90 00,....,15:52:43.071
21E,8,00 00 00 00 00 00 00 00,........,15:52:43.072
234,2,00 00,..,15:52:43.073
23E,5,70 00 80 80 00,p....,15:52:43.074
403,1,1,.,15:52:43.074
541,8,D7 6A 00 3D BD 54 00 00,.j.=.T..,15:52:43.075
230,8,02 00 00 00 00 00 00 00,........,15:52:43.077
108,1,1,.,15:52:43.078
21E,8,00 00 00 00 00 00 00 00,........,15:52:43.081
541,8,98 6A 00 3B D5 54 00 00,.j.,15:52:43.084
509,4,00 00 00 00,....,15:52:43.085
108,1,1,.,15:52:43.085
248,8,10 00 00 06 00 FF FF 00,........,15:52:43.086
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:43.089
20D,2,50 03,P.,15:52:43.089
20A,6,50 20 05 00 89 00,P ....,15:52:43.090
21E,8,00 00 00 00 00 00 00 00,........,15:52:43.091
240,8,62 64 00 00 00 00 00 00,bd......,15:52:43.092
40A,1,0A,.,15:52:43.092
40B,1,0,.,15:52:43.093
50B,2,0A 00,..,15:52:43.093
290,8,00 04 A0 00 6A 90 00 00,....j...,15:52:43.094
541,8,39 00 00 00 08 00 00 00,9.......,15:52:43.095
108,1,1,.,15:52:43.096
22A,8,20 02 ED 70 0B 93 20 30, ..p.. 0,15:52:43.100
21E,8,00 00 00 00 00 00 00 00,........,15:52:43.101
541,8,7A 1C 00 3E 05 00 00 00,z..>....,15:52:43.104
108,1,1,.,15:52:43.105
11B,5,00 40 24 00 80,.@$..,15:52:43.106
23A,8,20 02 ED 70 0B 5B 20 30, ..p.[ 0,15:52:43.110
411,8,00 00 10 00 00 00 00 00,........,15:52:43.111
21E,8,00 00 00 00 00 00 00 00,........,15:52:43.112
50A,4,00 01 00 00,....,15:52:43.112
541,8,AB EA FF 00 00 00 00 00,........,15:52:43.114
108,1,1,.,15:52:43.115
410,1,A0,.,15:52:43.117
208,8,00 00 00 00 00 00 00 00,........,15:52:43.118
23E,5,70 00 80 80 00,p....,15:52:43.120
20E,4,00 02 07 02,....,15:52:43.121
21E,8,00 00 00 00 00 00 00 00,........,15:52:43.122
407,1,0,.,15:52:43.122
541,8,0C 00 06 00 00 00 00 00,........,15:52:43.124
209,6,50 20 05 00 89 00,P ....,15:52:43.125
108,1,1,.,15:52:43.125
219,2,00 00,..,15:52:43.126
229,8,20 02 ED 70 0B 2B 20 30, ..p.+ 0,15:52:43.127
309,2,00 00,..,15:52:43.127
238,8,07 00 00 C0 00 00 00 00,........,15:52:43.128
409,1,0,.,15:52:43.129
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:43.130
21E,8,00 00 00 00 00 00 00 00,........,15:52:43.131
509,4,00 00 00 00,....,15:52:43.132
50E,2,0A 00,..,15:52:43.132
519,8,00 00 00 00 12 02 00 0E,........,15:52:43.133
541,8,0D 3B 01 00 00 00 00 00,.,15:52:43.134
239,8,20 02 ED 70 0B AA 20 30, ..p.. 0,15:52:43.135
108,1,1,.,15:52:43.137
21A,2,00 00,..,15:52:43.139
223,2,55 55,UU,15:52:43.140
21E,8,00 00 00 00 00 00 00 00,........,15:52:43.141
20F,8,FF 01 04 00 00 3E 63 B6,.....>c.,15:52:43.143
541,8,2E 9C A4 09 00 00 00 00,........,15:52:43.144
290,8,01 B8 1F 55 3B 14 00 00,...U,15:52:43.145
108,1,1,.,15:52:43.147
228,8,00 00 00 00 00 00 00 00,........,15:52:43.148
214,7,00 00 7F 7F 41 14 FF,..A..,15:52:43.149
304,7,4B 8A 01 00 FF 82 04,K......,15:52:43.150
404,1,1,.,15:52:43.150
21E,8,00 00 00 00 00 00 00 00,........,15:52:43.151
50A,4,00 01 00 00,....,15:52:43.152
292,8,40 21 00 00 00 00 E0 08,@!......,15:52:43.154
541,8,A0 2A 00 02 00 00 00 00,.*......,15:52:43.155
408,1,4,.,15:52:43.157
108,1,1,.,15:52:43.158
21E,8,00 00 00 00 00 00 00 00,........,15:52:43.161
541,8,91 26 00 01 00 00 00 00,.&......,15:52:43.164
509,4,00 00 00 00,....,15:52:43.165
108,1,1,.,15:52:43.165
218,8,00 00 C0 00 B2 4A 33 00,.....J3.,15:52:43.168
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:43.169
203,8,50 22 00 93 00 01 57 FF,"P""....W.",15:52:43.171
213,4,02 01 90 00,....,15:52:43.171
21E,8,00 00 00 00 00 00 00 00,........,15:52:43.172
234,2,00 00,..,15:52:43.173
23E,5,70 00 80 80 00,p....,15:52:43.174
